Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,1006,1.0,4.0,44,區間快,0,2,1.0,44,44,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,1007,0.0,0.0,9,區間快,1,0,0.8182,9,11,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,101,0.25,2.0,16,自強,1,1,0.8421,16,19,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,102,1.0833333333333333,4.0,12,自強,0,1,0.7059,12,17,0,平日,尖峰,4.0,0,0
2026-03-18,2026-03-18,103,1.5,4.0,26,自強,1,2,1.0,26,26,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1038,0.9393939393939394,6.0,33,區間快,0,2,0.6735,33,49,0,平日,離峰,,0,0
2026-03-18,2026-03-18,105,1.5,4.0,30,自強,1,1,0.9677,30,31,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,107,0.4,3.0,10,傾斜式自強,1,1,1.0,10,10,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,108,0.3333333333333333,2.0,24,自強,0,1,0.8889,24,27,0,平日,深夜,2.0,0,0
2026-03-18,2026-03-18,109,0.8636363636363636,3.0,22,自強,1,1,0.9565,22,23,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,110,0.9230769230769231,3.0,13,自強,0,1,1.0,13,13,0,平日,尖峰,2.0,0,0
2026-03-18,2026-03-18,1104,0.0,0.0,2,區間,0,0,0.5,2,4,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1105,0.2222222222222222,1.0,9,區間,1,1,0.6923,9,13,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1106,0.0,0.0,5,區間,0,0,0.3333,5,15,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1107,0.5294117647058824,3.0,17,區間,1,1,0.4722,17,36,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1108,0.0,0.0,2,區間,0,0,0.5,2,4,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1109,0.2222222222222222,1.0,9,區間,1,0,0.5,9,18,0,平日,深夜,1.0,0,0
2026-03-18,2026-03-18,111,0.38461538461538464,3.0,13,自強,1,1,1.0,13,13,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1110,0.4,1.0,5,區間,0,0,0.5556,5,9,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1112,0.0,0.0,13,區間,0,0,0.4062,13,32,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1117,0.13636363636363635,1.0,22,區間,1,1,0.5641,22,39,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,112,0.9285714285714286,2.0,28,自強,0,2,1.0,28,28,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1120,0.06666666666666667,1.0,15,區間,0,0,0.5556,15,27,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1121,1.6666666666666667,6.0,24,區間,1,0,0.75,24,32,0,平日,尖峰,3.0,0,0
2026-03-18,2026-03-18,1122,0.05555555555555555,1.0,18,區間,0,0,0.5625,18,32,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1123,0.08333333333333333,1.0,24,區間,1,0,0.75,24,32,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1124,0.8421052631578947,2.0,19,區間,0,0,0.7037,19,27,0,平日,深夜,1.0,0,0
2026-03-18,2026-03-18,1127,1.1538461538461537,3.0,26,區間,1,1,0.7222,26,36,0,平日,尖峰,3.0,0,0
2026-03-18,2026-03-18,1128,1.6,4.0,25,區間,0,1,0.641,25,39,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,1129,0.47368421052631576,1.0,19,區間,1,0,0.7037,19,27,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,113,1.25,3.0,16,自強,1,2,1.0,16,16,0,平日,尖峰,2.0,0,0
2026-03-18,2026-03-18,1130,0.2222222222222222,1.0,18,區間,0,0,0.72,18,25,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1131,0.625,2.0,24,區間,1,0,0.75,24,32,0,平日,尖峰,1.0,0,0
