Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,1,自強,1,1.0,1001,24.0,19:33,06:22,19:33,尖峰,1,週末,1,11.0,,,,1.0,0.0,1.0,1,0,0,臺北-環島
2026-03-01,,,1004,區間快,0,0.0,0930,14.0,12:17,10:34,12:17,離峰,1,週末,1,10.0,,,,4.0,47.0,0.0,0,0,0,七堵
2026-03-01,,,1006,區間快,0,2.0,0930,44.0,13:42,06:45,13:42,離峰,1,週末,1,10.0,,,,3.0,6.0,0.0,0,0,0,七堵
2026-03-01,,,103,自強,1,2.0,5050,26.0,12:17,06:05,12:17,離峰,1,週末,1,13.0,,,,4.0,9.0,0.0,0,0,0,潮州
2026-03-01,,,1034,區間快,0,1.0,0930,44.0,21:14,14:55,21:14,離峰,1,週末,1,10.0,,,,5.0,8.0,5.0,5,1,1,七堵
2026-03-01,,,1038,區間快,0,2.0,0930,49.0,22:04,14:30,22:04,離峰,1,週末,1,10.0,,,,3.0,11.0,3.0,7,1,1,七堵
2026-03-01,,,105,自強,1,1.0,5050,31.0,12:54,06:12,12:54,離峰,1,週末,1,14.0,,,,4.0,9.0,0.0,0,0,0,潮州
2026-03-01,,,109,自強,1,1.0,5000,23.0,13:29,07:34,13:29,離峰,1,週末,1,8.0,,,,4.0,10.0,1.0,1,0,0,屏東
2026-03-01,,,111,自強,1,1.0,5120,13.0,12:47,07:23,12:47,離峰,1,週末,1,19.0,,,,3.0,28.0,0.0,0,0,0,枋寮
2026-03-01,,,112,自強,0,2.0,0900,28.0,12:45,06:10,12:45,離峰,1,週末,1,10.0,,,,2.0,5.0,6.0,6,1,1,基隆
2026-03-01,,,114,自強,0,1.0,0930,25.0,13:34,07:30,13:34,離峰,1,週末,1,10.0,,,,3.0,6.0,0.0,2,0,1,七堵
